1,-4,-8
0,-3,-9
-1,-4,-10
0,8,-4
0,-3,-11
-6,-1,-4
-4,-5,-6
-2,10,-8
4,12,-5
0,-6,-9
2,12,1
0,-4,-13
11,0,-5
-6,-6,-7
4,13,0
2,12,-1
2,-1,-10
-6,-2,-7
-1,0,-12
-5,-7,-5
-6,-3,-5
-7,-7,-6
0,9,-9
-3,9,-8
-7,-5,-7
2,-4,-9
-2,-2,-13
10,0,-4
-2,-6,-9
-5,-8,-6
-3,-1,-13
2,12,2
-2,-5,-13
-1,-5,-13
-8,-7,-4
7,13,-3
-5,-6,-6
-1,14,3
-1,-3,-12
-5,-2,-5
7,11,-1
-6,-8,-5
-3,-6,-5
5,-9,-8
5,-10,-9
0,7,-10
6,6,-9
-2,-2,-10
0,7,-9
-1,6,-9
7,-9,-3
-2,13,4
-2,14,3
6,-10,-2
7,-10,-4
-2,-9,-4
-2,-8,-4
-1,-2,-13
9,1,-3
2,-2,-13
3,-2,-13
6,-9,-8
-7,-5,-4
-6,-2,-4
-9,-9,-4
-7,-10,-6
-6,-10,-4
2,-6,-12
-1,-5,-14
-5,-8,-5
-5,-8,-4
10,-2,-9
12,-3,-8
6,16,2
7,16,2
12,-1,-6
0,-2,-12
-4,0,-13
10,2,-7
10,2,-6
2,15,0
-8,4,-8
-4,-7,-6
-6,-5,-6
0,8,13
-7,-5,-3
-7,-7,-4
-2,9,1
1,-6,-11
-1,8,-10
0,0,-11
6,-9,-7
7,4,-9
-8,-10,-4
2,8,-7
-2,6,-9
-3,11,-9
-2,14,1
-6,-8,-9
-1,1,-11
-3,15,-1
5,15,0
1,-8,-12
-6,0,-6
0,11,-6
-6,-3,-9
9,-2,-3
4,10,13
9,9,-3
4,14,-7
8,-7,-4
-7,-8,-9
-9,-11,-3
10,6,3
2,-6,-11
2,6,12
11,-4,-11
-3,11,-12
1,16,-3
-8,-2,-8
0,-5,-15
5,6,-10
9,-4,-10
11,-3,-10
-4,-9,-5
-3,-7,-16
10,2,-4
11,1,-3
10,-1,-8
-9,-9,-7
-7,-9,-3
10,5,4
-4,-10,-6
11,-3,-13
-1,-6,-13
-15,3,1
11,-4,-9
2,-7,-10
3,16,3
-7,-8,-10
-5,-6,-10
-8,3,-9
-3,12,-10
-2,12,-9
3,-6,-13
-3,18,-2
-2,-6,-14
3,-4,-12
-3,-7,-13
-2,-9,-3
-1,-6,-16
6,17,3
8,15,2
8,15,3
2,14,-3
-1,-8,-11
1,-10,-13
-10,-7,-5
4,-10,-11
4,-10,-10
-9,-4,-7
-1,-6,-9
-1,5,-11
-18,5,-2
-16,5,-4
2,-2,-14
3,-3,-14
11,2,-5
-6,-9,-2
-3,-8,-6
-1,16,3
0,16,1
9,0,-3
-3,-5,-13
2,-4,-16
-6,-10,-2
-1,15,-5
-1,7,-11
-2,14,-2
0,14,0
-6,-6,-8
0,-4,-12
1,9,-8
-8,-4,-3
-8,-8,-3
4,14,-3
-7,-6,-3
-6,2,-7
7,-7,-7
8,-6,-7
0,7,-12
-4,11,-10
6,4,-11
7,7,-10
-2,8,-8
-15,5,1
2,9,-7
-3,10,1
-4,12,-7
5,14,1
6,12,-10
-7,-7,-9
6,-9,-3
2,-9,-13
-7,-10,-5
5,18,0
0,-2,-14
10,-8,-5
-7,4,9
-1,6,-13
7,15,1
2,15,2
-4,-9,-2
8,-5,-8
6,3,-8
7,-8,-6
8,-2,-6
-2,-4,-11
2,14,-2
-6,-3,-6
-11,9,3
-2,13,10
5,15,-3
-5,-5,-16
-15,6,3
11,-10,-4
11,-4,-12
12,-9,-1
13,-2,-8
8,8,-11
-10,-9,-6
-2,5,-12
6,10,13
5,18,2
9,-9,-5
7,-9,-1
0,-10,-12
12,1,-8
11,-8,-1
13,-8,-1
-3,-8,-3
5,-9,-6
-8,-6,-8
-8,-6,-7
10,15,2
-5,-5,-12
-3,-6,-11
11,1,-2
11,3,-2
-16,3,0
-16,3,1
-15,2,2
-15,4,2
-14,7,4
9,5,2
10,4,2
-10,10,4
2,-11,-12
2,-10,-14
-1,4,-13
1,-4,-14
-2,9,14
-9,-1,-9
-1,-5,-16
-1,-3,-16
-1,1,-12
4,15,-6
5,15,-8
5,15,-6
-1,-10,-4
-3,10,-13
0,-7,-17
0,-7,-15
11,2,-13
11,4,-13
0,4,-12
-2,-4,-16
-1,-5,-15
0,-5,-16
10,-4,-11
-4,-6,-16
